gender,timestamp,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,strength,team_seed,team_region
mens,45370.7676821759,0,1,0.995022359667618,0.894013173643996,0.726081175682567,0.566815649556326,0.361232680241022,0.22541014634441,1,1,41,Connecticut,95.6,1,East
mens,45370.7676821759,0,1,0.991495841137237,0.854927957676133,0.661451498491826,0.448973445715138,0.280461743274507,0.147335020395629,2,1,2509,Purdue,93.5,1,Midwest
mens,45370.7676821759,0,1,0.966970843301729,0.723636481743549,0.509472533909059,0.35957798312528,0.195791119930264,0.0983344214155627,3,1,248,Houston,92.1,1,South
mens,45370.7676821759,0,1,0.986834604516543,0.664494221842326,0.406569798047035,0.192255698289819,0.0770103734520704,0.0363928015289775,4,1,153,North Carolina,90.2,1,West
mens,45370.7676821759,0,1,0.966489956197516,0.77496777688968,0.556992818149807,0.376667426619284,0.206219161723661,0.126444960077343,8,1,12,Arizona,91.6,2,West
mens,45370.7676821759,0,1,0.947485761473448,0.743849375339069,0.440353831679505,0.150147719960633,0.0805845468866569,0.0424252893503135,5,1,66,Iowa State,90.9,2,East
mens,45370.7676821759,0,1,0.975046614347382,0.720885267874784,0.462126485608143,0.217902339342759,0.115166814187606,0.0497461712501387,6,1,2633,Tennessee,90.6,2,Midwest
mens,45370.7676821759,0,1,0.842661125546709,0.484590277187661,0.289172326028145,0.129378326636608,0.0564453311984942,0.0225263763106914,7,1,269,Marquette,85.3,2,South
mens,45370.7676821759,0,1,0.918470632347004,0.639063647243193,0.346284526802664,0.1102579590668,0.0539379332440061,0.0258233257445395,9,1,356,Illinois,89.8,3,East
mens,45370.7676821759,0,1,0.851169433738497,0.63824692361495,0.321664300340075,0.137458948134576,0.0720517952811396,0.0308295587515348,10,1,156,Creighton,89.6,3,Midwest
mens,45370.7676821759,0,1,0.906481844784275,0.653666847856595,0.36496685378431,0.152167431689298,0.0606258844145999,0.0220683045790112,11,1,96,Kentucky,88.3,3,South
mens,45370.7676821759,0,1,0.886873266481312,0.573254206274048,0.233564366022967,0.122609682879671,0.0471136514501442,0.0214927662426512,12,1,239,Baylor,87.9,3,West
mens,45370.7676821759,0,1,0.857922498654543,0.597994295261123,0.178426094552768,0.101120534174928,0.0526757203792685,0.0269080037996601,13,1,2,Auburn,90.6,4,East
mens,45370.7676821759,0,1,0.841680431178293,0.563000930301582,0.237040390792872,0.136329057494637,0.0600981065177332,0.024198977315566,15,1,150,Duke,89.4,4,South
mens,45370.7676821759,0,1,0.796308702800247,0.485792812419553,0.226564850498551,0.0937204752712615,0.0325046084284547,0.0136143398094391,16,1,333,Alabama,87.8,4,West
mens,45370.7676821759,0,1,0.76623798084558,0.357954330118975,0.107994858569662,0.0475273916272169,0.0227557330337383,0.00873674562029683,14,1,2305,Kansas,85.5,4,Midwest
mens,45370.7676821759,0,1,0.849510875596102,0.546473661824867,0.1567926240069,0.0666651579527907,0.0320193885367052,0.0124004103565639,18,1,2250,Gonzaga,88.0,5,Midwest
mens,45370.7676821759,0,1,0.663312455972246,0.286610505389853,0.0991411693072691,0.0495613026169114,0.0184132571613339,0.00626812333614255,19,1,275,Wisconsin,86.6,5,South
mens,45370.7676821759,0,1,0.780579345404177,0.315185198127951,0.0449579650904429,0.0155957595481964,0.00673691577790463,0.00284746056736604,17,1,21,San Diego State,85.6,5,East
mens,45370.7676821759,0,1,0.64610403763258,0.319779888607891,0.140121302217257,0.0544205044917822,0.0160906884514215,0.00589037959019987,20,1,2608,Saint Mary's,84.7,5,West
mens,45370.7676821759,0,1,0.763768285181648,0.298158308883031,0.117706788619894,0.0244953419873349,0.0109428127418297,0.00481283482718568,21,1,252,Brigham Young,86.4,6,East
mens,45370.7676821759,0,1,0.504254608366017,0.202994577423937,0.0521816493668167,0.0187441596542208,0.00437238876391121,0.00131359676276902,24,1,228,Clemson,83.8,6,West
mens,45370.7676821759,0,1,0.492916568191238,0.15952961424142,0.0682897696377665,0.0241978084452338,0.00892136246660979,0.0030265621447321,23,1,2641,Texas Tech,83.3,6,South
mens,45370.7676821759,0,1,0.571968150797528,0.187565067461401,0.0529493359494509,0.0124891826257104,0.00361876140758421,0.000810124352643154,22,1,2579,South Carolina,82.3,6,Midwest
mens,45370.7676821759,0,1,0.649202622534565,0.203181983485438,0.0981555044294326,0.031746712531923,0.0142851278037681,0.00514486843754178,26,1,251,Texas,86.6,7,Midwest
