gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,2019-03-17,0,1.0,0.170808873992,0.025941252129,0.004360813801,0.000145812703,8.76835e-06,6.22247e-07,1,1,2623,Missouri State,78.39,Chicago,11,114
womens,2019-03-17,0,1.0,0.142387002469,0.026990183364,0.000414740172,6.4537063e-05,3.752576e-06,2.58901e-07,1,1,242,Rice,77.62,Chicago,12,106
womens,2019-03-17,0,1.0,0.159944595406,0.015502576499,0.000368047455,6.823845e-05,4.587962e-06,2.08104e-07,1,1,2083,Bucknell,76.6,Greensboro,12,10
womens,2019-03-17,0,1.0,0.453960847152,0.023124046377,0.003353966049,7.5501313e-05,3.193403e-06,1.63764e-07,1,1,252,Brigham Young,77.39,Chicago,7,120
womens,2019-03-17,0,1.0,0.302194124278,0.003579953026,0.000852075619,4.4153499e-05,3.107318e-06,1.61326e-07,1,1,228,Clemson,76.62,Portland,9,38
womens,2019-03-17,0,1.0,0.064458272424,0.015310909557,0.002014992202,6.2027753e-05,3.375589e-06,1.24289e-07,1,1,311,Maine,75.68,Greensboro,14,22
womens,2019-03-17,0,1.0,0.040236219012,0.023008406772,0.002920370567,5.6771527e-05,2.151594e-06,9.9988e-08,1,1,302,UC-Davis,76.81,Chicago,15,126
womens,2019-03-17,0,1.0,0.092202340616,0.027027900794,0.000732922673,3.9336263e-05,2.266698e-06,9.5362e-08,1,1,2230,Fordham,76.21,Portland,14,54
womens,2019-03-17,0,1.0,0.075076951285,0.010479563876,0.000182828019,3.1406617e-05,1.574843e-06,9.5107e-08,1,1,2750,Wright State,76.28,Chicago,13,110
womens,2019-03-17,0,1.0,0.031463978995,0.00495196647,0.000720573568,2.2901284e-05,1.432482e-06,6.0767e-08,1,1,2382,Mercer,74.21,Greensboro,15,30
womens,2019-03-17,0,1.0,0.040124016831,0.012373217307,0.000476995154,1.1317225e-05,4.588e-07,2.1322e-08,1,1,68,Boise State,75.97,Albany,13,78
womens,2019-03-17,0,1.0,0.007962729641,0.001494194596,0.000411139268,3.0068757e-05,7.82646e-07,1.447e-08,1,1,2502,Portland State,72.17,Portland,15,62
womens,2019-03-17,0,1.0,0.125660271186,0.004760575501,0.000173366625,3.899538e-06,1.66908e-07,8.203e-09,1,1,2031,Arkansas-Little Rock,74.2,Albany,12,74
womens,2019-03-17,0,1.0,0.022604910074,0.002464339653,2.0725096e-05,8.89625e-07,2.4406e-08,7.82e-10,1,1,2515,Radford,70.15,Albany,14,86
womens,2019-03-17,0,1.0,0.001036580802,9.8753904e-05,5.318016e-06,1.6868e-07,2.893e-09,5.9e-11,1,1,119,Towson,66.57,Albany,15,94
womens,2019-03-17,0,1.0,0.002825026153,0.000306969977,1.8342233e-05,1.71613e-07,2.82e-09,5.5e-11,1,1,2523,Robert Morris,66.86,Albany,16,66
womens,2019-03-17,0,1.0,0.016308027849,0.000882780692,3.2062167e-05,1.91905e-07,2.482e-09,4.4e-11,1,1,166,New Mexico State,66.98,Chicago,14,118
womens,2019-03-17,0,1.0,0.000669260137,8.8214603e-05,3.039856e-06,1.22772e-07,2.058e-09,2.5e-11,1,1,2000,Abilene Christian,65.11,Greensboro,16,2
womens,2019-03-17,0,1.0,0.000301482023,1.2071127e-05,4.44156e-07,1.4246e-08,2.28e-10,5e-12,1,1,2065,Bethune-Cookman,63.54,Chicago,16,98
womens,2019-03-17,0,1.0,0.000673759206,6.4425805e-05,2.800928e-06,2.2811e-08,2.8e-10,2e-12,1,1,2582,Southern,61.9,Portland,16,34
